緯度情報,経度情報,愛工大からの距離,データ名
35.1878783083,137.1113705635,0.0047685940,あいち海上（かいしょ）の森センター
35.1879089974,137.1113973856,0.0047880700,あいち海上の森センター
35.1864797489,137.1082270145,0.0057090260,【尾張】２００５年記念と長久手
35.1737337743,137.0890867710,0.0258364109,【尾張】愛地球博記念公園
35.1737118497,137.0890331268,0.0258943620,愛・地球博記念公園（モリコロパーク）
35.2147093256,137.1015912294,0.0333260848,瀬戸市南公園・萩殿の森
35.2171460774,137.0987319946,0.0366435243,【尾張】瀬戸市南公園・萩殿の森
35.2246136523,137.1073043346,0.0415990304,瀬戸染付工芸館
35.2069210635,137.0775824468,0.0425445589,瀬戸グリーンセンター とれたて館
35.2246950851,137.1022365241,0.0426735604,新世紀工芸館
35.2253892941,137.1007490158,0.0437400438,【尾張】瀬戸蔵
35.2254506440,137.1007436514,0.0438004303,瀬戸蔵
35.1930713483,137.1588699623,0.0468349276,猿投山の球状花崗岩
35.2302708469,137.1041661501,0.0476918413,ノベルティ・こども創造館
35.1491608263,137.1493694813,0.0499284464,うめこう桃梨苺園
35.1851565490,137.0617617708,0.0513097886,あぐりん村
35.1851565490,137.0617617708,0.0513097886,あぐりん村
35.1844792594,137.0603791471,0.0526735622,長久手温泉ござらっせ
35.2404677022,137.1157828208,0.0571213006,道の駅瀬戸しなの
35.1308115865,137.0890760422,0.0578030007,愛知牧場
35.1308247482,137.0889151096,0.0578579476,愛知牧場
35.1860609098,137.0549418274,0.0581604169,長久手古戦場附色金山
35.1837331275,137.0527380312,0.0603047228,長久手古戦場附首塚
35.2176268451,137.1627891100,0.0603773703,瀬戸窯跡
35.2011664913,137.1709937178,0.0606104615,猿投山と菊石
35.2011664913,137.1709937178,0.0606104615,猿投山・菊石
35.1601054817,137.1734393778,0.0647383846,池田第一号墳
35.2400888168,137.1448672531,0.0650007076,岩屋堂公園
35.2401776557,137.1448123455,0.0650513503,【尾張】岩谷堂公園
35.1828812044,137.0479849254,0.0650591415,長久手グリーンセンター
35.1732733560,137.0484888554,0.0653444086,【尾張】長久手市郷土資料室
35.1735061857,137.0480095297,0.0657825076,長久手古戦場
35.1752105959,137.1783648849,0.0658358464,旧龍性院庭園
35.1474041976,137.1694872765,0.0669526457,舞木廃寺塔跡
35.1189016877,137.0878597434,0.0692513336,黒笹七号窯
35.1785403024,137.0430395661,0.0701716619,長久手古戦場附御旗山
35.1169160194,137.0804929733,0.0740349557,【尾張】愛知池
35.1168896914,137.0801925659,0.0741911241,愛知池
35.2409224797,137.0527052879,0.0833542982,森林公園
35.2409487675,137.0525658131,0.0834734310,森林公園
35.2152114203,137.0348666361,0.0843952742,尾張旭グリーンセンター及び産直センター
35.2052596469,137.1959406137,0.0857292697,しだれ桜（金剛寺）
35.2053429280,137.1959406137,0.0857505310,【豊田加茂】金剛寺しだれ桜
35.1685111622,137.1983385086,0.0865884078,愛知県緑化センター・昭和の森
35.2253181742,137.0363553239,0.0873895968,維摩（いま）池
35.1310835947,137.0395570993,0.0902125205,農産振興クラブ 及び日進野菜研究会
35.2210640105,137.0276319981,0.0933408281,【尾張】城山公園及び長池・維摩池
35.2204329468,137.0273154974,0.0933785403,城山公園
35.2212305404,137.0271331072,0.0938645170,長池
35.0928135577,137.0879396895,0.0940118873,三好公園
35.0928135577,137.0879396895,0.0940118873,三好公園
35.2516515665,137.0483601093,0.0940231099,東谷山フルーツパーク
35.2516471858,137.0483279228,0.0940420764,東谷山フルーツパーク
35.1203857484,137.1882147134,0.0980983459,枝下（しだれ）用水
35.2552091808,137.0443738966,0.0993483827,志段見古墳群
35.2803533246,137.0908999443,0.0994376580,【尾張】定光寺
35.2803577037,137.0908945799,0.0994431218,定光寺
35.0973388935,137.0537358154,0.1045266749,東郷町文化産業まつり
35.0826210811,137.0765340328,0.1071992258,保田ケ池公園
35.0825245047,137.0764803886,0.1073082996,保田ケ池公園
35.0843287081,137.1544200182,0.1073763803,ＪＡあいち豊田各産直店
35.0804070533,137.1517417289,0.1100351626,七州城址公園・豊田市美術館
35.0752638403,137.0906430879,0.1104435353,緑と花のセンター「さんさんの郷」
35.0752638403,137.0906430879,0.1104435353,緑と花のセンター「さんさんの郷」
35.0797983700,137.1516090631,0.1105588162,七州城址(しちしゅうじょうし)公園＆豊田市美術館
35.0875814185,137.0498449762,0.1147928128,東郷グリーンセンター
35.0992480717,137.0263552666,0.1208228989,【尾張】涼松せせらぎの道
35.0992217381,137.0263445377,0.1208489408,涼松（すずみまつ）せせらぎの道
35.2682571651,137.0256042480,0.1218360008,ファーマーズマーケットぐぅぴぃひろば
35.1141216758,137.0109380587,0.1233951828,名古屋市農業センター delaふぁーむ
35.1141216758,137.0109380587,0.1233951828,名古屋市農業センターdelaふぁーむ
35.0857025350,137.0371809368,0.1237015133,祐福寺一里塚
